,name,link
401,Joe Cortese,/name/nm0181288/?ref_=tt_cl_t12
402,Jason Bose Smith,/name/nm0808633/?ref_=tt_cl_t13
403,Antonio David Lyons,/name/nm0529014/?ref_=tt_cl_t14
404,Alex Sol,/name/nm0812550/?ref_=tt_cl_t15
405,Claudia Cardinale,/name/nm0001012/?ref_=tt_cl_t2
406,Jason Robards,/name/nm0001673/?ref_=tt_cl_t3
407,Charles Bronson,/name/nm0000314/?ref_=tt_cl_t5
408,Gabriele Ferzetti,/name/nm0275213/?ref_=tt_cl_t5
409,Paolo Stoppa,/name/nm0832375/?ref_=tt_cl_t6
410,Woody Strode,/name/nm0834754/?ref_=tt_cl_t7
411,Jack Elam,/name/nm0001181/?ref_=tt_cl_t8
412,Keenan Wynn,/name/nm0943978/?ref_=tt_cl_t4
